family,status,readback,setpoint,device1,device2,element,pos
BPMx,1,SR-DI-EBPM-01:SA:X,,1,1,1,4.377500e+00
BPMx,1,SR-DI-EBPM-01:SA:X,,1,2,2,8.806500e+00
BPMx,1,SR-DI-EBPM-01:SA:X,,1,3,3,1.137400e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,1,4,4,1.255900e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,1,5,5,1.494250e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,1,6,6,1.800500e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,1,7,7,2.127250e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,2,1,8,2.702750e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,2,2,9,3.145650e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,2,3,10,3.402400e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,2,4,11,3.520900e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,2,5,12,3.759250e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,2,6,13,4.065500e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,2,7,14,4.392250e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,3,1,15,4.967750e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,3,2,16,5.410650e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,3,3,17,5.667400e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,3,4,18,5.785900e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,3,5,19,6.024250e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,3,6,20,6.330500e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,3,7,21,6.657250e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,4,1,22,7.232750e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,4,2,23,7.675650e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,4,3,24,7.932400e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,4,4,25,8.050900e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,4,5,26,8.289250e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,4,6,27,8.595500e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,4,7,28,8.922250e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,5,1,29,9.797750e+01
BPMx,1,SR-DI-EBPM-01:SA:X,,5,2,30,1.024065e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,5,3,31,1.049740e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,5,4,32,1.061590e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,5,5,33,1.085425e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,5,6,34,1.116050e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,5,7,35,1.148725e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,6,1,36,1.206275e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,6,2,37,1.250565e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,6,3,38,1.276240e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,6,4,39,1.288090e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,6,5,40,1.311925e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,6,6,41,1.342550e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,6,7,42,1.375225e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,7,1,43,1.432775e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,7,2,44,1.477065e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,7,3,45,1.502740e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,7,4,46,1.514590e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,7,5,47,1.538425e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,7,6,48,1.569050e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,7,7,49,1.601725e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,8,1,50,1.659275e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,8,2,51,1.703565e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,8,3,52,1.729240e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,8,4,53,1.741090e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,8,5,54,1.764925e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,8,6,55,1.795550e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,8,7,56,1.826835e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,9.500000e+00,1,57,1.856895e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,9.500000e+00,2,58,1.882923e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,9,1,59,1.918253e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,9,2,60,1.960065e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,9,3,61,1.985740e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,9,4,62,1.997590e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,9,5,63,2.021425e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,9,6,64,2.052050e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,9,7,65,2.073323e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,10,1,66,2.153682e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,10,2,67,2.186565e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,10,3,68,2.212240e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,10,4,69,2.224090e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,10,5,70,2.247925e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,10,6,71,2.278550e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,10,7,72,2.311225e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,11,1,73,2.368775e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,11,2,74,2.413065e+02
BPMx,0,SR-DI-EBPM-01:SA:X,,11,3,75,2.438740e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,11,4,76,2.450590e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,11,5,77,2.474425e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,11,6,78,2.505050e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,11,7,79,2.537725e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,12,1,80,2.595275e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,12,2,81,2.639565e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,12,3,82,2.665240e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,12,4,83,2.677090e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,12,5,84,2.700925e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,12,6,85,2.731550e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,12,7,86,2.762835e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,1.350000e+01,1,87,2.792895e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,1.350000e+01,2,88,2.818923e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,13,1,89,2.854253e+02
BPMx,1,SR-DI-EBPM-01:SA:X,,13,2,90,2.896065e+02
